,Text_y,Label
0,"['nice', 'selection', 'breakfast']",1
1,"['abit', 'pricey']",-1
2,['absolute'],1
3,"['hour', 'recive', 'order']",-1
4,['alright'],1
5,"['always', 'delicious', 'fresh', 'hot', 'tasty', 'thank']",1
6,"['always', 'great', 'food']",1
7,"['always', 'order', 'turkish', 'palace', 'food', 'delicious']",1
8,"['always', 'good', 'thanks']",1
9,"['always', 'best', 'team']",1
10,"['always', 'best', 'thank', 'everything']",1
11,"['always', 'good']",1
12,"['always', 'tasty', 'lactose', 'free']",1
13,['amaaaaazing'],1
14,['amazing'],1
15,"['amazing', 'dekicious']",1
16,"['amazing', 'food']",1
17,"['amazing', 'food', 'always']",1
18,"['amazing', 'food']",1
19,"['amazing', 'place', 'delicious']",1
20,"['amazing', 'taste', 'like', 'eating', 'lebanese', 'restaurant', 'beirut']",1
21,"['amazing', 'thats']",1
22,['amazing'],1
23,"['among', 'orders', 'first', 'time', 'order', 'restaurant', 'without', 'regrets', 'really', 'good', 'affordable', 'price', 'time']",1
24,['anazing'],1
25,"['appereciate', 'great']",1
26,"['authentic', 'good', 'delicious']",1
27,"['avocado', 'juice', 'ordered', 'bitter', 'taste', 'checked', 'sending']",-1
28,['awesome'],1
29,['bad'],-1
30,"['bad', 'resturant']",-1
31,"['bad', 'servies']",-1
32,"['bad', 'spoiled', 'food']",-1
35,"['bery', 'delicious']",1
36,"['besides', 'food', 'delicious', 'sushi', 'box', 'extra', 'speciality', 'truly', 'take', 'care', 'customer', 'thank', 'keep', 'greatness', 'please']",1
37,['best'],1
38,['best'],1
39,"['best', 'coffee']",1
40,"['best', 'coffee', 'ever']",1
41,"['best', 'cookies', 'oman']",1
42,"['best', 'donuts', 'far', 'fluffy']",1
43,"['best', 'everrrtr']",1
44,"['best', 'foood']",1
45,"['best', 'iced', 'mocha']",1
46,"['best', 'indain', 'resturant', 'oman', 'mashallah']",1
47,"['best', 'pizza', 'far', 'muscat']",1
48,"['best', 'popcorn', 'nachos']",1
49,"['best', 'restau', 'oman']",1
50,"['best', 'restau', 'oman']",1
51,"['best', 'restaurant', 'muscat']",1
52,"['best', 'restaurant', 'muscat']",1
53,"['best', 'resturant']",1
54,"['better', 'lots', 'resturants', 'area']",1
55,"['bill', 'strawberry', 'lemonade', 'regular', 'rials', 'missing']",-1
56,"['sliders', 'burgers', 'overcooked', 'patty', 'dry', 'first', 'time', 'experiencing', 'disappointed', 'taste']",-1
57,"['box', 'opened']",-1
59,"['buffalo', 'chicken', 'burger', 'chewy']",-1
60,"['buffalo', 'shrimps', 'overcooked', 'bad', 'smell', 'oily', 'also', 'expensive', 'comparing', 'quality', 'received']",-1
63,"['came', 'plastic', 'bag', 'tin', 'described', 'app']",-1
64,"['carne', 'asada', 'steak', 'tough', 'cant', 'eat', 'ordered', 'extra', 'guacamole', 'sour', 'cream', 'delivered', 'spicy', 'eat', 'food']",-1
65,"['ceazer', 'salad', 'without', 'sauce', 'crouton']",-1
66,"['cheap', 'bad']",-1
67,"['chicken', 'fillet', 'sandwich', 'good', 'one', 'problem', 'side', 'thought', 'lemonade', 'mojito', 'wasted', 'money', 'lemon', 'juice', 'little', 'berry', 'bits']",1
68,"['chicken', 'manchow', 'soup', 'smelt', 'like', 'fish', 'manchow', 'soup', 'maybe', 'utensils', 'clean', 'dispose', 'entire', 'portion', 'soup', 'dissapointing', 'rial', 'soup', 'chicken', 'tikka', 'lababdar', 'must', 'great', 'taste']",-1
69,"['clod', 'stone', 'always', 'great']",1
71,"['coffe', 'good', 'thanks']",1
72,"['coffee', 'bad', 'sandwich', 'oily']",-1
73,['cold'],-1
74,['confusion'],-1
75,['cool'],1
76,['cool'],1
