0,
Tgabks,0
,0
No chiken in the paste and no sun dried tomato,-1
Always great!,1
Na,0
"Penne pasta was not authentic, with sauce almost looking like a curry.",-1
Cutlery was placed in the bags although we requested no cutlery. Too much plastic use is bad for the wnvironment,-2
Good,1
Many thanks,1
Excellent pizza,1
"Amaizing pizza italiano, never failed us.",1
Food tasteless and much lower quality than usual...,-1
Excellent! Enjoyed it,1
Many thanks,1
Great,1
Thank you 🙏🏼 Shukran,1
Extremely Salty - Anchovy taste was awful,-1
The food was too cold,-1
Hb,0
,0
Na,0
T,0
I got delivered the wrong order.,-3
,0
Hh,0
Good,1
Tasty good meal.,1
The cookies were fresh and hot from starbucks,1
Amazinggg 👍👍👍👍,1
,0
Good,1
👍🏼💕,1
Okkkk,1
Good,1
Good,1
❤️‍🔥❤️‍🔥❤️‍🔥,1
👍🏼👍🏼,1
Talabat and the restaurant were very thorough in dealing with an ingredient problem and making sure I was a satisfied customer.,1
Very good,1
Awful,-1
"They charged me extra for coconut milk, which wasnt included in the menu!",-1
He left the bag and went. Nobody called or rang the bell,-3
Shoud have swnt watssap before calling,-3
Good food,1
Fantastic sandwitch as always!! 🙌🏽🙌🏽 10/10,1
The dish had quite a lot of chilli in it which isnt mentioned on the menu. Otherwise it was nice.,-1
very good,1
,0
The sourdough here is the best,1
Love you Talabat ❤️,3
M,0
Best food,1
Beat food,1
Awesome,1
The best brakefast,1
Thanks,1
Fantastic,1
thanks was perfect,1
Good,1
Very good,1
♥️♥️♥️👌🏻,1
"Delicious food and delievered really fast, thanks",1
magenta,1
Very good,1
😀,1
"They forgot the sauce, chicken strips was like panadol but its okay",-1
Too much sauce,-1
The food was soo bad.. never ordering from here ever again,-1
Very good,1
.,0
Best in the world,1
The burger is overprised for that taste to br honest the beef was dry,-1
"Not fresh and no taste! I will not order again, ever",-1
Good,1
Not fresh food,-1
👌🏻,1
The chicken in the shawarma was tooo crunchy and charred black,-1
Very bad food,-1
👍👍👍👍👍,1
👍,1
👍👍👍,1
👍🏻👍🏻,1
Chicken shawarma is the best,1
Ameer was very good!!,3
food is great,1
Good,1
Excellent,1
Very nice shawarma and tasty,1
Excellent,1
very goog,1
He didnt call me when he deliver my food he put in reception and leave without send me a message,-3
,0
Wow,1
Missed item,-3
🤤🤤🤤🤤🤤🤤,1
"All meals ordered are delicious, burgers, chicken pop and fries.",1
Packaging is excellent too.,2
Chicken was overcooked and chewy with one piece of soggy lettuce.,-1
Hi,0
Burger is really tasty but they need to work on the fries. The fries are very dry and tastes like it was made a few days ago,-1
Best crispy chiken in town,1
Good food and service,1
The best chicken and fries ever 😋 😍..,1
The order DID NOT ARRIVE after nearly 3 hours of waiting!!!!,-3
H,0
Food was fresh and testy .. the ludlow fries was yummy,1
.,0
The fries not hot .. it tasted like old fries,-1
Best chicken and waffles!,1
Order took too long to arrive and was cold,-3
,0
Some of the food was bad,1
Amazing service!,1
Excellent Food Delivered Quicklyand Efficiently,1
I didnt like that the restuarant does not send cutlery,-2
Quantity was very less,-1
Great!,1
bad test .. cold food .. not like the picture,-1
Excellent!,1
It took 50 m to deleverd,-3
"Dont know what this shop has done to its portions but i thought it was some sick joke when i recieved my Bowl. The ""regular"" portion was nothing like it was before and comes in the most tiniest container !! Such a disappointment dont think ill be ordering from here again",-1
Good food!,1
,0
Nice food,1
Good food,1
😍😍😍,1
Really good,1
,0
Broken plastic cup with messy packaging. The juice leaked all out,-2
Very good,1
Just talabat and their aweful service,-3
Good,1
food was delicious! and arrived on time! Ive ordered multiple times and food is always so yum!,1
Very disappointing i ordered spicy tuna and got,-1
Fantastic pasta as usual 🙌🏽 always a pleasure,1
"I havent recieved any calls ot trxt from talabaat, its been more than an hour",-3
The chicken was too mushy like plastic. That was disappointing,-1
"On time , correct delivered",3
Exceptional food &amp; packaging,1
The Courtyard is one of my fave restaurants in Muscat - especially for breakfast. Their poached eggs with thr garlic labneh is something i crave constantly and its relatively wholesome as a meal. Desserts maybe not so much.,1
I liked their ceaser salad with shrimp.,1
Please contact the restaurant to deliver the missing item,-3
Their fries and burger were too oily for my tasting . Though the chicken is grilled but was a tiny uncooked from the inside. Make sure you tell them to pole holes and have it cooked well,-1
The eggs and veggies were tasteless,-1
"The food packaging was perfect,",1
"I was impressed with how fast my order arrived,",3
"I felt I got great quality for the amount I paid, Food was delicious and surpassed my expectations",1
I felt I got great quality for the amount I paid,1
the worst not a trifel nor it has nutella waste of money,-1
I was disappointed for not getting the soy souce with my order as how it is when you have it in restaurant also chop sticks,-1
🙂,1
Item came  very cold,-3
The price is high compared to the size of the Cinnabon pieces,-1
Thanx for good service,
The cinnabon was so dry n not fresh not as usual,
.,
❤️,
🤩,
G,
Good,
Yummooooo,
ً,
I didnt recive my order,
👌,
Love it,
wrong order!,
As expected... The food is really amazing🥰highly recommended 💯,
Good,
Coffe wasnt cover with foil .,
..,
good,
The coffee was horrific,
The napkin was opend what's left in the bag tissue and spoon only next time u have 2 be sure every things is new and close,
Good,
"Forks and knifes were missig, always yummy foof",
B,
"We have ordered Macchiato, and not deliecered right, only single shot of espresso was there",
Crepe with fruit was much much better than this tasteless pancake,
"Shrimp avocado sandwish is delicious ! Big pieces, fresh and tasty . Thank you !!",
I am not happy at all,
D,
,
,
The avocado croissant was really good. No regrets.,
Order delivered is wrong,
I paid for coleslaw but not received.  Fajita is cold and Fattoush is hot!,
very good quality of food. thank you,
Very fast anf freindly drive.. all the best for him,
food was so bad,
Thanks,
Good and clean food,
ً,
Thanks,
Thanks,
Chicken Alana was burnt 😢,
,
the food was amazing .thanks darceys .,
Keep it up,
Very good,
Excellent service,
,
Good,
Ok,
Brilliant,
Good food,
Great,
,
Solid,
Excellent 🌟,
Best,
,
Best food in muscat 👌,
Great,
"The starter was really good.

The carbonara and caprese were okay",
"The food was well packaged, arrived quickly, and tasted great! I will order from rhem!",
The food was tastless no flavour to it veey soggy and over priced for much meal,
Delicious!,
I would like my money yo be sent back,
👍🏻,
Time has to be adjusted in the app,
Hjj,
Bad,
-,
Very dissapointed! The food arrived 2 hours after order was placed.!! When it came it was cold and the fries were already dry! J would nit order here again.,
very late order,
They changes the type of bread and the amount is less,
"Excellent person who solved my issue,, Sharon",
"Thank you for this delicios food, and for you amazing words that had put a smile on my face",
Good,
"Had my lunch today m, and i must say Best EVER moujadara &amp; hendbeh !! Filful serves amazing quality and taste as always .",
Bad,
,
Great food as always,
Great!,
Food was extremly bad it smelled and tated rotten. Everything eas very bad.,
Great as akways,
Delicious as always!,
Good service,
Excellent food,
,
Can u please contat me or make the resturant call me,
The soup was a bit cold,
طلبيتي كانت مالها علاقة ابدا بـ شيش برك! :) Fake shish barak,
All good,
Food was ice cold by the time it arrived.,
Order marked as delivered when actually not delivered,
I didnt like ghe food,
Very good food,
the lamb chop was good the chicken grill taste not nice,
The shawarma ordered was pricey for 600 bz and was awful and salty and did not taste lyk a shawarma!!!,
Good,
V good,
Good,
Excelent food &amp; services.,
Ok,
Ok,
"Everything was excelent.  
Many thanks",
The sandwich was dry,
"shawarma for 1.5 riyal with no pickles , nothing",
Food not tasty,
i ordered beef shawarma and they have given chicken shawarma,
Good,
Yum yum,
"First of all my expectations were high.

1. Value For Money Is High According To The Foods Quality.
2. Packaging For Fries Makes It Soggy Till The Time It Gets Delivered.
3. Taste Could Have Been Better.
4. Avoid Using Sweet Buns For Burgers.
5. Patties Inside The Burger Weren't Juicy.

These are not complaints just a feed back. Thank You.",
I have ordered dynmite fries bit I got only fries with nothing on top,
Kind person,
okay so i gave this a one star bc my brother got so sick. the dilivery was great tho,
Nice,
Moo,
Super!,
👍🏻,
"The food packaging was perfect, I was impressed with how fast my order arrived",
Good,
I have orderd diet 7up and it was not as what i bave orderd also the burger was over cooked,
I was impressed with how fast my order arrived,
The new packing for the fries makes the fries soggy and soft it looses the fries crunchy crispy taste,
The food portion was much smaller than price charged. I actually thought they served me the wrong order because of the baby size burger,
Great,
Its was not the same quantity as usal &amp; there is diffetent in the taste,
.,
Very nice and ordering again,
very nice,
Super fast!,
Nonr,
Risoto over priced regarding the amount of portion :) its too little,
The portion was too too too small copmaring to the price.The taste was not as Dine in.,
Good,
,
"Urbano Bistro NEEDS to make bigger sliders, for its price point.",
Free nice serviecs,
Very good,
good and not bad,
Recived without fork and spoon.,
جيد جدا,
ممتاز,
Good,
🦋,
azing,
Good,
"Food arrived hot and fast, quality was amazing",
Best tasting falafel,
Good,
Good,
The cheese was not as good as last time,
Reduce the,
Great,
Thx,
The food is not hot it seems like your qulity of delivering fresh hot food is becoming lower 👎🏻,
"Great food , my colleauges at work loved it . Thanks",
🌟🌟🌟🌟,
the chips was fully with overloaded cheese.,
Good,
Good food &amp; service,
Very good,
Ok,
tasty,
Kxkdi,
Good,
Great food,
No,
Wow,
Cleaness,
The have to call then send me,
The order didnt arrived yet,
"My comments was not considered if you mention remarks pls see it to consider 
Thanx",
perfect,
Always good,
Thanks,
There was an ant on one of the cupcakes.,
I received only 9 cupcakes out of 10,
Yumyyy,
🤙🏼,
Good,
Ferrero cake had coconut 😢,
Shows item deluvered on app but it hasnt arrived till now,
The tiramissu i orderd was rotten i had stomach pain,
never go wrong with 99% angle cupcake,
Delicious fast &amp; super convenient,
Love the strawberry cakes. Best talabat rider ever!,
The writes part ontop of the cake was smashed!!,
Ordered the fresh strawberry cake which is 1.8 riyals and got a small fresh strawberry cupcake for 1.2 riyals. So i paid for the more expensive item and i got the cheaper one,
"One of the best Strawberry and Cream cake in town, getting addicted to it",
"So frustrated, red velvet felt like im eating suger and the price is quite high and felt like if I baught it from any other shop it would be much better than this.",
Very quick delievry,
